law_firm_id,law_firm_name,address_id
LF000000,Matthews & Oneal LLP,AD001001
LF000001,Suarez & Thomas LLP,AD000186
LF000002,Smith & Williams LLP,AD001045
LF000003,Mccarty & Maxwell LLP,AD000912
LF000004,Wheeler & Wade LLP,AD001656
LF000005,Santiago & Price LLP,AD000113
LF000006,Harper & Garner LLP,AD000928
LF000007,Cervantes & Burns LLP,AD000270
LF000008,Ramirez & Weiss LLP,AD001051
LF000009,Reed & Klein LLP,AD000850
LF000010,Lopez & Lewis LLP,AD000935
LF000011,Dalton & Smith LLP,AD001154
LF000012,Haney & Lyons LLP,AD000118
LF000013,King & Frank LLP,AD001144
LF000014,Ramos & Richards LLP,AD000946
LF000015,Simmons & Watts LLP,AD001377
LF000016,Robinson & Conrad LLP,AD001652
LF000017,Hancock & Anderson LLP,AD000631
LF000018,Park & Ward LLP,AD001481
LF000019,Kane & Miller LLP,AD000044
LF000020,Owen & Sims LLP,AD000810
LF000021,Mcmahon & Mills LLP,AD000521
LF000022,Olsen & Daniels LLP,AD001672
LF000023,Dawson & Castro LLP,AD000006
LF000024,Taylor & Adams LLP,AD001527
LF000025,Marsh & Dennis LLP,AD000446
LF000026,Lamb & Mclean LLP,AD001184
LF000027,Lawrence & Miller LLP,AD000149
LF000028,White & Oneal LLP,AD000092
LF000029,Webb & Evans LLP,AD000867
LF000030,Harris & Johnson LLP,AD000705
LF000031,Gonzalez & Morgan LLP,AD001434
LF000032,Steele & Mitchell LLP,AD000130
LF000033,Smith & Barrett LLP,AD001108
LF000034,Hebert & Lee LLP,AD000123
LF000035,Hunter & Arias LLP,AD000141
LF000036,Wright & Goodman LLP,AD000966
LF000037,Boyer & Fisher LLP,AD000064
LF000038,Phillips & Valencia LLP,AD000587
LF000039,Williams & Collins LLP,AD000837
LF000040,Kennedy & Leon LLP,AD000368
LF000041,Riley & Ross LLP,AD001574
LF000042,Walker & Vazquez LLP,AD000277
LF000043,Becker & Larsen LLP,AD001568
LF000044,Williams & Carlson LLP,AD001313
LF000045,Castillo & Williams LLP,AD001493
LF000046,Martinez & Smith LLP,AD001322
LF000047,Shaw & Suarez LLP,AD000860
LF000048,Hopkins & Romero LLP,AD000766
LF000049,Schmidt & Moore LLP,AD000783
LF000050,Benson & Ramsey LLP,AD000918
LF000051,Collins & Johnson LLP,AD001780
LF000052,Butler & Morgan LLP,AD000773
LF000053,Hutchinson & Leach LLP,AD000769
LF000054,Jones & Miller LLP,AD000164
LF000055,Martinez & Martinez LLP,AD001398
LF000056,Hicks & Thomas LLP,AD001355
LF000057,Donovan & Brandt LLP,AD001791
LF000058,Wilson & Thomas LLP,AD001104
LF000059,Bennett & Jones LLP,AD000272
